School Type,India/ State/ UTs,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Primary School,India,"6,64,041.00","6,51,382.00","7,12,239.00","7,67,520.00","7,71,082.00","7,84,852.00","7,87,827.00","7,78,825.00","8,19,945.00","7,48,547.00"
Primary School,Andaman and Nicobar Islands,208,207,209,213,213,215,226,205,207,212
Primary School,Andhra Pradesh,"58,249.00","61,167.00","63,897.00","61,680.00","62,159.00","62,162.00","62,464.00","65,811.00","65,932.00","66,834.00"
Primary School,Arunachal Pradesh,"1,315.00","1,337.00","1,364.00","1,371.00","1,380.00","1,438.00","1,561.00","1,721.00","1,841.00","1,941.00"
Primary School,Assam,"33,236.00","30,045.00","30,068.00","30,068.00","30,499.00","30,094.00","31,042.00","31,042.00","31,202.00","31,202.00"
Primary School,Bihar,"39,299.00","40,511.00","40,337.00","39,347.00","38,161.00","40,294.00","45,980.00","45,557.00","43,445.00","42,573.00"
Primary School,Chandigarh,29,26,24,25,25,31,30,25,25,24
Primary School,Chhattisgarh,"31,023.00","23,951.00","32,556.00","33,595.00","30,870.00","32,731.00","34,034.00","34,420.00","35,344.00","35,274.00"
Primary School,Dadra and Nagar Haveli,137,126,127,127,127,169,174,172,170,210
Primary School,Daman and Diu,53,50,53,53,53,53,50,50,50,66
Primary School,Delhi,"2,415.00","2,111.00","2,126.00","2,463.00","2,617.00","2,595.00","2,569.00","2,593.00","2,586.00","2,563.00"
Primary School,Goa,"1,033.00","1,037.00","1,009.00","1,003.00","1,001.00","1,219.00","1,253.00","1,253.00","1,252.00","1,254.00"
Primary School,Gujarat,"15,545.00","7,245.00","7,233.00","16,385.00","16,385.00","16,443.00","17,443.00",NA,NA,NA
Primary School,Haryana,"11,208.00","9,619.00","11,500.00","11,800.00","12,152.00","6,843.00","13,602.00","13,052.00","13,073.00","13,987.00"
Primary School,Himachal Pradesh,"10,877.00","10,868.00","11,013.00","11,178.00","11,261.00","11,525.00","11,517.00","11,517.00","11,301.00","11,376.00"
Primary School,Jammu and Kashmir,"10,926.00","10,488.00","12,256.00","12,049.00","13,369.00","13,369.00","13,369.00","15,138.00","15,446.00","15,446.00"
Primary School,Jharkhand,"16,643.00","17,059.00","16,417.00","16,572.00","16,186.00","18,941.00","19,818.00","19,818.00","26,588.00","26,731.00"
Primary School,Karnataka,"22,404.00","26,254.00","26,163.00","26,645.00","27,017.00","28,499.00","28,871.00","26,644.00","26,254.00","26,302.00"
Primary School,Kerala,"6,754.00","6,697.00","6,717.00","6,827.00","6,817.00","6,817.00","6,802.00","6,860.00","6,796.00","6,790.00"
Primary School,Lakshadweep,20,4,20,21,21,21,21,20,23,23
Primary School,Madhya Pradesh,"62,530.00","54,233.00","66,648.00","96,737.00","94,890.00","98,345.00","98,463.00","97,800.00","1,05,592.00","43,662.00"
Primary School,Maharashtra,"45,971.00","40,850.00","41,258.00","41,669.00","41,615.00","42,467.00","42,467.00","45,931.00","49,101.00","49,095.00"
Primary School,Manipur,"2,573.00","2,552.00","2,552.00","2,552.00","2,552.00","2,563.00","2,563.00","2,579.00","2,579.00","2,435.00"
Primary School,Meghalaya,"5,646.00","5,807.00","5,851.00","5,851.00","5,851.00","6,351.00","6,618.00","6,618.00","6,618.00","6,627.00"
Primary School,Mizoram,"1,377.00","1,253.00","1,504.00","1,481.00","1,688.00","1,700.00","1,752.00","1,783.00","1,782.00","1,821.00"
Primary School,Nagaland,"1,499.00","1,352.00","1,495.00","1,520.00","1,520.00","1,520.00","1,662.00","1,662.00","1,662.00","1,662.00"
Primary School,Odisha,"42,104.00","36,677.00","42,104.00","45,700.00","46,370.00","46,722.00","49,765.00","52,138.00","52,972.00","54,150.00"
Primary School,Puducherry,319,319,329,328,327,319,309,301,300,301
Primary School,Punjab,"13,074.00","13,340.00","13,265.00","13,352.00","13,291.00","13,291.00","13,238.00","16,784.00","16,954.00","13,950.00"
Primary School,Rajasthan,"38,342.00","32,953.00","55,757.00","55,942.00","56,573.00","57,656.00","55,361.00","49,887.00","49,538.00","47,818.00"
Primary School,Sikkim,501,497,497,684,733,761,772,769,749,749
Primary School,Tamil Nadu,"31,488.00","33,394.00","32,242.00","33,470.00","34,208.00","35,146.00","29,364.00","29,654.00","27,037.00","28,218.00"
Primary School,Tripura,"2,095.00","2,054.00","2,075.00","1,776.00","1,863.00","2,142.00","2,151.00","2,120.00","2,379.00","2,307.00"
Primary School,Uttar Pradesh,"88,927.00","1,13,546.00","1,19,404.00","1,29,976.00","1,34,455.00","1,37,366.00","1,27,247.00","1,29,632.00","1,32,403.00","1,47,376.00"
Primary School,Uttarakhand,"13,795.00","13,902.00","14,304.00","14,663.00","14,847.00","15,058.00","15,356.00","15,356.00","15,644.00","15,660.00"
Primary School,West Bengal,"52,426.00","49,851.00","49,865.00","50,397.00","49,986.00","49,986.00","49,913.00","49,913.00","73,100.00","49,908.00"
Upper Primary School,India,"2,19,626.00","2,45,274.00","2,62,286.00","2,74,731.00","2,88,199.00","3,05,584.00","3,25,174.00","3,65,643.00","3,94,126.00","4,47,600.00"
Upper Primary School,Andaman and Nicobar Islands,55,56,56,58,60,64,64,69,67,67
