School Type,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Primary School,India,Total,113883060,122397715,128266291,130763067,130822117,133719922,135470561,135323683,133694932,135316946
Primary School,India,Boy,NA,65084379,68360423,69674543,69789220,71087421,71089547,70604246,69749314,70468427
Primary School,India,Girl,NA,57313336,59905868,61088524,61032897,62632501,64381014,64719437,63945618,64848519
Primary School,Andaman and Nicobar Islands,Total,40022,39625,40388,40274,37601,38174,36637,35192,34242,33416
Primary School,Andaman and Nicobar Islands,Boy,NA,20603,20981,20852,19303,19582,18811,17996,17553,17114
Primary School,Andaman and Nicobar Islands,Girl,NA,19022,19407,19422,18298,18592,17826,17196,16689,16302
Primary School,Andhra Pradesh,Total,8626241,8615608,7975659,7692411,7391922,7363237,7173537,7122361,7137291,7124940
Primary School,Andhra Pradesh,Boy,NA,4364178,4044148,3894649,3742698,3736789,3640320,3607168,3626594,3633364
Primary School,Andhra Pradesh,Girl,NA,4251430,3931511,3797762,3649224,3626448,3533217,3515193,3510697,3491576
Primary School,Arunachal Pradesh,Total,162495,171792,180253,184673,195590,200803,199478,209513,216845,225979
Primary School,Arunachal Pradesh,Boy,NA,93529,97342,100064,105636,107717,106223,109614,112473,117254
Primary School,Arunachal Pradesh,Girl,NA,78263,82911,84609,89954,93086,93255,99899,104372,108725
Primary School,Assam,Total,4080610,3128986,3232547,3510665,3141277,3245754,3430940,3430940,2922714,2922714
Primary School,Assam,Boy,NA,1620771,1648903,1794039,1591771,1635272,1741545,1741545,1462640,1462640
Primary School,Assam,Girl,NA,1508215,1583644,1716626,1549506,1610482,1689395,1689395,1460074,1460074
Primary School,Bihar,Total,7809112,9413646,9471186,10042119,10525321,11503960,12412315,13201001,13907798,14934274
Primary School,Bihar,Boy,NA,5413929,5477856,5938345,6186536,6642044,7026049,7426620,7756205,8076775
Primary School,Bihar,Girl,NA,3999717,3993330,4103774,4338785,4861916,5386266,5774381,6151593,6857499
Primary School,Chandigarh,Total,58050,65483,66034,62908,51402,75276,79800,84863,83759,85988
Primary School,Chandigarh,Boy,NA,35828,36097,34233,28094,42439,44019,46559,45407,46186
Primary School,Chandigarh,Girl,NA,29655,29937,28675,23308,32837,35781,38304,38352,39802
Primary School,Chhattisgarh,Total,2972595,2751573,3397795,3405502,3113399,3195546,3234343,3621334,3234910,3231614
Primary School,Chhattisgarh,Boy,NA,1428168,1766331,1776950,1621220,1663506,1683745,1875810,1678226,1677674
Primary School,Chhattisgarh,Girl,NA,1323405,1631464,1628552,1492179,1532040,1550598,1745524,1556684,1553940
