School Type,India/ State/ UTs,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Primary School,India,NA,NA,NA,NA,NA,44,47,45,41,43
Primary School,Andaman and Nicobar Islands,20,17,19,20,19,17,17,15,14,13
Primary School,Andhra Pradesh,41,33,35,33,32,33,32,31,32,31
Primary School,Arunachal Pradesh,34,27,39,34,32,28,33,22,22,22
Primary School,Assam,38,30,40,42,45,39,38,30,28,28
Primary School,Bihar,73,83,74,104,104,92,68,72,80,76
Primary School,Chandigarh,21,34,38,41,40,33,36,31,23,45
Primary School,Chhattisgarh,44,43,47,48,41,43,43,38,29,29
Primary School,Dadra and Nagar Haveli,49,40,49,62,55,59,91,43,40,39
Primary School,Daman and Diu,45,39,43,43,40,41,33,52,52,33
Primary School,Delhi,32,40,40,40,45,46,46,43,40,39
Primary School,Goa,20,21,20,21,32,26,25,26,26,25
Primary School,Gujarat,68,31,32,35,34,32,30,NA,NA,NA
Primary School,Haryana,39,41,45,44,42,57,53,58,52,51
Primary School,Himachal Pradesh,23,22,21,24,23,24,18,17,15,15
Primary School,Jammu and Kashmir,31,19,33,34,32,32,39,29,22,23
Primary School,Jharkhand,65,59,73,81,79,68,73,73,NA,NA
Primary School,Karnataka,30,26,34,26,26,25,23,19,18,17
Primary School,Kerala,28,28,29,28,27,27,28,25,24,23
Primary School,Lakshadweep,27,20,21,21,24,20,31,28,27,23
Primary School,Madhya Pradesh,44,36,41,43,49,42,41,41,37,38
Primary School,Maharashtra,39,36,37,37,37,37,34,30,29,29
Primary School,Manipur,22,21,28,30,31,33,33,33,33,30
Primary School,Meghalaya,34,22,36,44,46,46,47,47,57,57
Primary School,Mizoram,21,19,18,17,25,16,17,17,18,20
Primary School,Nagaland,19,12,19,19,20,20,20,20,20,20
Primary School,Odisha,39,40,56,53,42,36,42,39,33,33
Primary School,Puducherry,25,21,24,24,26,25,25,20,19,17
Primary School,Punjab,44,38,42,43,44,43,53,39,29,26
Primary School,Rajasthan,51,41,46,49,47,46,43,44,44,46
Primary School,Sikkim,16,12,19,22,22,14,16,13,14,14
Primary School,Tamil Nadu,33,34,35,33,34,32,44,37,31,27
Primary School,Tripura,31,23,30,54,36,27,27,27,25,15
Primary School,Uttar Pradesh,44,55,57,58,57,55,76,77,67,79
Primary School,Uttarakhand,35,29,27,25,24,25,25,23,24,24
Primary School,West Bengal,56,53,55,54,50,46,51,44,34,45
Upper Primary School,India,NA,NA,NA,NA,NA,34,35,34,33,33
Upper Primary School,Andaman and Nicobar Islands,18,17,19,18,17,17,16,16,14,13
Upper Primary School,Andhra Pradesh,39,30,31,31,30,29,28,26,27,25
Upper Primary School,Arunachal Pradesh,28,25,28,30,30,27,24,25,23,24
Upper Primary School,Assam,25,16,17,16,15,21,18,20,17,21
Upper Primary School,Bihar,54,73,65,75,78,64,54,51,53,51
Upper Primary School,Chandigarh,27,24,26,29,10,32,15,36,45,73
Upper Primary School,Chhattisgarh,44,37,45,46,47,38,32,30,23,24
Upper Primary School,Dadra and Nagar Haveli,46,44,55,43,48,43,14,23,33,39
Upper Primary School,Daman and Diu,32,31,29,29,34,34,36,27,27,32
Upper Primary School,Delhi,21,27,25,26,30,29,31,31,30,30
Upper Primary School,Goa,16,16,16,17,33,28,27,30,29,31
Upper Primary School,Gujarat,38,38,39,39,38,38,37,35,35,35
Upper Primary School,Haryana,22,26,25,30,26,41,37,41,41,38
Upper Primary School,Himachal Pradesh,16,15,17,30,15,34,13,15,13,14
Upper Primary School,Jammu and Kashmir,19,18,16,16,15,15,10,14,15,15
Upper Primary School,Jharkhand,53,57,60,61,63,60,55,55,NA,NA
Upper Primary School,Karnataka,39,37,39,37,32,35,32,30,29,27
Upper Primary School,Kerala,28,28,27,27,26,27,25,26,26,25
Upper Primary School,Lakshadweep,48,21,16,16,18,20,11,15,14,17
Upper Primary School,Madhya Pradesh,29,28,27,30,33,33,33,33,34,39
Upper Primary School,Maharashtra,30,37,38,37,36,35,32,32,32,32
Upper Primary School,Manipur,19,17,19,20,21,21,22,22,22,22
Upper Primary School,Meghalaya,17,17,14,16,18,15,15,15,17,17
Upper Primary School,Mizoram,9,11,10,8,11,8,8,8,9,9
Upper Primary School,Nagaland,18,13,18,16,16,16,15,15,15,15
Upper Primary School,Odisha,36,38,28,44,38,42,35,34,27,26
Upper Primary School,Puducherry,23,23,22,21,20,22,21,21,19,17
Upper Primary School,Punjab,17,18,18,19,20,19,21,18,16,15
Upper Primary School,Rajasthan,40,31,33,34,31,31,32,29,28,26
Upper Primary School,Sikkim,18,15,22,25,27,17,15,14,15,15
Upper Primary School,Tamil Nadu,37,40,37,41,38,36,54,47,35,32
Upper Primary School,Tripura,18,20,16,15,19,19,19,18,16,16
Upper Primary School,Uttar Pradesh,30,35,37,35,35,35,79,77,78,69
Upper Primary School,Uttarakhand,34,19,19,18,17,16,16,22,27,27
Upper Primary School,West Bengal,51,50,49,44,62,50,70,55,33,49
