Age Slab,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
6-11 Years Old,India,Total,NA,NA,NA,29,26.45,25.6,25.09,27.8,30.3,27
6-11 Years Old,India,Boy,NA,NA,NA,31.81,29.52,24.57,25.7,29.6,31.8,28.7
6-11 Years Old,India,Girl,NA,NA,NA,25.42,22.5,26.75,24.41,25.8,28.5,25.1
6-11 Years Old,Andaman and Nicobar Islands,Total,NA,2.31,NA,3.72,11.54,6.37,10.45,11.9,5,7.8
6-11 Years Old,Andaman and Nicobar Islands,Boy,NA,NA,NA,4.03,11.27,5.8,9.73,13.6,6.9,8.4
6-11 Years Old,Andaman and Nicobar Islands,Girl,NA,NA,NA,3.36,11.83,6.97,11.2,10.1,3,7.1
6-11 Years Old,Andhra Pradesh,Total,43.03,41.71,42.61,31.95,24.75,24.02,18.79,15.5,15.8,17.4
6-11 Years Old,Andhra Pradesh,Boy,NA,NA,NA,31.77,24.64,23.66,19.1,16,16.3,18.1
6-11 Years Old,Andhra Pradesh,Girl,NA,NA,NA,32.14,24.87,24.38,18.48,15,15.2,16.7
6-11 Years Old,Arunachal Pradesh,Total,49.77,37.94,46.34,46.85,38.02,30.38,41.04,40.8,41.3,43
6-11 Years Old,Arunachal Pradesh,Boy,NA,NA,NA,45.86,37.1,30.9,39.68,41.8,43.1,43.8
6-11 Years Old,Arunachal Pradesh,Girl,NA,NA,NA,48.01,39.13,29.75,42.59,39.7,39.2,42.1
6-11 Years Old,Assam,Total,48.64,61.17,53.15,50.07,52.64,44.27,5.25,NA,35.9,29.9
6-11 Years Old,Assam,Boy,NA,NA,NA,51.58,54.54,45.66,2.87,NA,39,33.2
6-11 Years Old,Assam,Girl,NA,NA,NA,48.34,50.44,42.79,7.64,NA,32.7,26.4
6-11 Years Old,Bihar,Total,61.64,62.31,59.03,51.59,46.55,51.63,46.89,47.5,42.5,35.7
6-11 Years Old,Bihar,Boy,NA,NA,NA,53.37,47.37,49.65,44.61,47.8,43.5,39.2
6-11 Years Old,Bihar,Girl,NA,NA,NA,48.62,45.25,54.1,49.68,47.2,41,30.7
6-11 Years Old,Chhattisgarh,Total,NA,NA,NA,NA,29.97,25.27,31.69,26.5,34.1,31
